molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL237776,Cc1cc(Cl)ccc1/C=C/C(=O)NO,active,800.0
CHEMBL593815,CCCCCc1ccc(C(=O)NO)cc1,inactive,41000.0
CHEMBL610755,O=C1C=CC(=O)C1=Cc1ccc(Cl)cc1Cl,inactive,600000.0
CHEMBL237370,O=C(/C=C/c1ccc(Cl)cc1Cl)NO,inactive,900000.0
CHEMBL592938,O=C1C=CC(=O)N1Cc1ccc(Cl)cc1Cl,inactive,62500.0
CHEMBL592938,O=C1C=CC(=O)N1Cc1ccc(Cl)cc1Cl,inactive,125000.0
CHEMBL597791,CN(C)CC/N=C(\N)c1ccc(Oc2ccc(-c3cc4ccc(/C(N)=N/CCN(C)C)cc4[nH]3)cc2)cc1,intermediate,2500.0
CHEMBL597791,CN(C)CC/N=C(\N)c1ccc(Oc2ccc(-c3cc4ccc(/C(N)=N/CCN(C)C)cc4[nH]3)cc2)cc1,intermediate,4400.0
CHEMBL598001,c1cc(C2=NCCN2)ccc1Oc1ccc(-c2cc3ccc(C4=NCCN4)cc3s2)cc1,intermediate,7100.0
CHEMBL604498,OC1CN=C(c2ccc(Oc3ccc(-c4cc5ccc(C6=NCC(O)CN6)cc5[nH]4)cc3)cc2)NC1,intermediate,7300.0
CHEMBL167448,c1cc(C2=NCCN2)ccc1Oc1ccc(-c2cc3ccc(C4=NCCN4)cc3[nH]2)cc1,intermediate,9400.0
CHEMBL3216444,Cl.Cl.N=C(N)c1ccc(Oc2ccc(-c3cc4ccc(C(=N)N)cc4[nH]3)cc2)cc1,inactive,11000.0
CHEMBL167448,c1cc(C2=NCCN2)ccc1Oc1ccc(-c2cc3ccc(C4=NCCN4)cc3[nH]2)cc1,inactive,12500.0
CHEMBL3216444,Cl.Cl.N=C(N)c1ccc(Oc2ccc(-c3cc4ccc(C(=N)N)cc4[nH]3)cc2)cc1,inactive,17000.0
CHEMBL164837,c1cc(-c2cc3ccc(C4=NCCN4)cc3[nH]2)ccc1C1=NCCN1,inactive,20000.0
CHEMBL597792,c1cc(C2=NCCCN2)ccc1Oc1ccc(-c2cc3ccc(C4=NCCCN4)cc3[nH]2)cc1,inactive,21000.0
CHEMBL597598,c1cc(C2=NCCN2)ccc1Oc1ccc(-c2nc3ccc(C4=NCCN4)cc3[nH]2)cc1,inactive,24500.0
CHEMBL597587,N#Cc1ccc(Oc2ccc(-c3cc4ccc(C(=N)N)cc4[nH]3)cc2)cc1,inactive,25000.0
CHEMBL598002,Clc1ccc(Oc2ccc(-c3cc4ccc(C5=NCCN5)cc4[nH]3)cc2)c(Cl)c1,inactive,25000.0
