molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL3264188,CC(=O)O[C@H]1C[C@H]2[C@H]([C@@H]3CC[C@H]([C@H](C)CCCNCCNc4ccnc5cc(Cl)ccc45)[C@@]13C)[C@H](OC(C)=O)C[C@@H]1C[C@H](NC(=O)OC(C)(C)C)CC[C@@]12C,intermediate,781.4789999999997,8.941400000000003,3.0,9.0,5.309803919971486
CHEMBL3264189,CC(=O)O[C@H]1C[C@H]2[C@H]([C@@H]3CC[C@H]([C@H](C)CCCNCCCNc4ccnc5cc(Cl)ccc45)[C@@]13C)[C@H](OC(C)=O)C[C@@H]1C[C@H](NC(=O)OC(C)(C)C)CC[C@@]12C,intermediate,795.5059999999997,9.331500000000002,3.0,9.0,5.489454989793388
CHEMBL3264190,CC(=O)O[C@H]1C[C@H]2[C@H]([C@@H]3CC[C@H]([C@H](C)CCCN(C)CCNc4ccnc5cc(Cl)ccc45)[C@@]13C)[C@H](OC(C)=O)C[C@@H]1C[C@H](NS(C)(=O)=O)CC[C@@]12C,inactive,773.4809999999998,7.3081000000000085,2.0,9.0,4.602581457648652
CHEMBL3264191,CC(=O)O[C@H]1C[C@H]2[C@H]([C@@H]3CC[C@H]([C@H](C)CCCN(C)CCCNc4ccnc5cc(Cl)ccc45)[C@@]13C)[C@H](OC(C)=O)C[C@@H]1C[C@H](NS(C)(=O)=O)CC[C@@]12C,intermediate,787.5079999999998,7.698200000000009,2.0,9.0,5.085656842880559
CHEMBL3264192,CC(=O)O[C@H]1C[C@H]2[C@H]([C@@H]3CC[C@H]([C@H](C)CCCN(C)CCNc4ccnc5cc(Cl)ccc45)[C@@]13C)[C@H](OC(C)=O)C[C@@H]1C[C@H](NC(=O)OC(C)(C)C)CC[C@@]12C,intermediate,795.5059999999996,9.283600000000003,2.0,9.0,5.168770306132936
CHEMBL3264496,CC(=O)O[C@H]1C[C@H]2[C@H]([C@@H]3CC[C@H]([C@H](C)CCCN(C)CCCNc4ccnc5cc(Cl)ccc45)[C@@]13C)[C@H](OC(C)=O)C[C@@H]1C[C@H](NC(=O)OC(C)(C)C)CC[C@@]12C,intermediate,809.5329999999997,9.6737,2.0,9.0,5.1791420105603
CHEMBL3264497,CC(=O)O[C@H]1C[C@H]2[C@H]([C@@H]3CC[C@H]([C@H](C)CCCNCCNc4ccnc5cc(Cl)ccc45)[C@@]13C)[C@H](OC(C)=O)C[C@@H]1C[C@H](N(C)C)CC[C@@]12C,intermediate,709.4159999999997,7.97830000000001,2.0,8.0,5.991399828238082
CHEMBL3264498,CC(=O)O[C@H]1C[C@H]2[C@H]([C@@H]3CC[C@H]([C@H](C)CCCNCCCNc4ccnc5cc(Cl)ccc45)[C@@]13C)[C@H](OC(C)=O)C[C@@H]1C[C@H](N(C)C)CC[C@@]12C,intermediate,723.4429999999998,8.368400000000008,2.0,8.0,5.872895201635193
CHEMBL3264499,CC(=O)O[C@H]1C[C@H]2[C@H]([C@@H]3CC[C@H]([C@H](C)CCCNCCNc4ccnc5cc(Cl)ccc45)[C@@]13C)[C@H](OC(C)=O)C[C@@H]1C[C@H](N)CC[C@@]12C,active,681.3619999999997,7.375400000000007,3.0,8.0,6.0915149811213505
CHEMBL3264500,CC(=O)O[C@H]1C[C@H]2[C@H]([C@@H]3CC[C@H]([C@H](C)CCCNCCCNc4ccnc5cc(Cl)ccc45)[C@@]13C)[C@H](OC(C)=O)C[C@@H]1C[C@H](N)CC[C@@]12C,intermediate,695.3889999999998,7.765500000000008,3.0,8.0,5.982966660701219
CHEMBL3264501,CC(=O)O[C@H]1C[C@H]2[C@H]([C@@H]3CC[C@H]([C@H](C)CCCN(C)CCNc4ccnc5cc(Cl)ccc45)[C@@]13C)[C@H](OC(C)=O)C[C@@H]1C[C@H](N)CC[C@@]12C,intermediate,695.3889999999997,7.717600000000009,2.0,8.0,5.943095148663527
CHEMBL3264502,CC(=O)O[C@H]1C[C@H]2[C@H]([C@@H]3CC[C@H]([C@H](C)CCCN(C)CCCNc4ccnc5cc(Cl)ccc45)[C@@]13C)[C@H](OC(C)=O)C[C@@H]1C[C@H](N)CC[C@@]12C,intermediate,709.4159999999997,8.107700000000008,2.0,8.0,5.94692155651658
CHEMBL3264503,CC(=O)O[C@H]1C[C@H]2[C@H]([C@@H]3CC[C@H]([C@H](C)CCCN(C)CCNc4ccnc5cc(Cl)ccc45)[C@@]13C)[C@H](OC(C)=O)C[C@@H]1C[C@H](N(C)C)CC[C@@]12C,intermediate,723.4429999999996,8.320500000000008,1.0,8.0,5.6439741428068775
CHEMBL3264504,CC(=O)O[C@H]1C[C@H]2[C@H]([C@@H]3CC[C@H]([C@H](C)CCCN(C)CCCNc4ccnc5cc(Cl)ccc45)[C@@]13C)[C@H](OC(C)=O)C[C@@H]1C[C@H](N(C)C)CC[C@@]12C,intermediate,737.4699999999997,8.710600000000007,1.0,8.0,5.889410289700751
CHEMBL3264505,CC(=O)O[C@H]1C[C@H]2[C@H]([C@@H]3CC[C@H]([C@H](C)CCCN(CCC[C@@H](C)[C@H]4CC[C@H]5[C@H]6[C@H](C[C@H](OC(C)=O)[C@@]54C)[C@@]4(C)CC[C@@H](N)C[C@H]4C[C@H]6OC(C)=O)CCNc4ccnc5cc(Cl)ccc45)[C@@]13C)[C@H](OC(C)=O)C[C@@H]1C[C@H](N)CC[C@@]12C,intermediate,1141.0329999999997,12.573499999999989,3.0,13.0,5.515700160653214
